station,quarter,hour,lambda_mean,n_days
Nanhu_Financial Industrial Park,2019Q4,0,0.0,1
Nanhu_Financial Industrial Park,2019Q4,1,0.0,1
Nanhu_Financial Industrial Park,2019Q4,2,0.0,1
Nanhu_Financial Industrial Park,2019Q4,3,0.0,1
Nanhu_Financial Industrial Park,2019Q4,4,0.0,1
Nanhu_Financial Industrial Park,2019Q4,5,0.0,1
Nanhu_Financial Industrial Park,2019Q4,6,0.0,1
Nanhu_Financial Industrial Park,2019Q4,7,0.0,1
Nanhu_Financial Industrial Park,2019Q4,8,0.0,1
Nanhu_Financial Industrial Park,2019Q4,9,0.0,1
Nanhu_Financial Industrial Park,2019Q4,10,0.0,1
Nanhu_Financial Industrial Park,2019Q4,11,0.0,1
Nanhu_Financial Industrial Park,2019Q4,12,0.0,1
Nanhu_Financial Industrial Park,2019Q4,13,0.0,1
Nanhu_Financial Industrial Park,2019Q4,14,0.0,1
Nanhu_Financial Industrial Park,2019Q4,15,0.0,1
Nanhu_Financial Industrial Park,2019Q4,16,0.0,1
Nanhu_Financial Industrial Park,2019Q4,17,0.0,1
Nanhu_Financial Industrial Park,2019Q4,18,0.0,1
Nanhu_Financial Industrial Park,2019Q4,19,0.0,1
Nanhu_Financial Industrial Park,2019Q4,20,0.0,1
Nanhu_Financial Industrial Park,2019Q4,21,0.0,1
Nanhu_Financial Industrial Park,2019Q4,22,0.0,1
Nanhu_Financial Industrial Park,2019Q4,23,0.0,1
Nanhu_Financial Industrial Park,2020Q1,0,0.0989010989010989,91
Nanhu_Financial Industrial Park,2020Q1,1,0.03296703296703297,91
Nanhu_Financial Industrial Park,2020Q1,2,0.0,91
Nanhu_Financial Industrial Park,2020Q1,3,0.04395604395604396,91
Nanhu_Financial Industrial Park,2020Q1,4,0.04395604395604396,91
Nanhu_Financial Industrial Park,2020Q1,5,0.0,91
Nanhu_Financial Industrial Park,2020Q1,6,0.03296703296703297,91
Nanhu_Financial Industrial Park,2020Q1,7,0.04395604395604396,91
Nanhu_Financial Industrial Park,2020Q1,8,0.06593406593406594,91
Nanhu_Financial Industrial Park,2020Q1,9,0.15384615384615385,91
Nanhu_Financial Industrial Park,2020Q1,10,0.12087912087912088,91
Nanhu_Financial Industrial Park,2020Q1,11,0.42857142857142855,91
