charger_type,distribution,n,k,log_likelihood,aic,bic,ks_statistic,ks_p_value
DC_Fast,exponential,135359,1,-616282.2070860832,1232566.4141721665,1232576.2298579535,0.19502578290685674,0.0
DC_Fast,gamma,135359,2,-583296.2571250075,1166596.514250015,1166616.1456215892,0.02352272346735662,1.7057974732685815e-65
DC_Fast,lognormal,135359,2,-588663.1536226968,1177330.3072453935,1177349.9386169678,0.04737131440677844,2.0944464294614227e-264
DC_Fast,weibull,135359,2,-583459.9931451365,1166923.986290273,1166943.6176618473,0.026482651697291137,6.671725973293944e-83
Level_2,exponential,131330,1,-731421.6336451157,1462845.2672902313,1462855.0527587498,0.10812086209271365,0.0
Level_2,gamma,131330,2,-730148.9649632215,1460301.929926443,1460321.5008634801,0.0991303249498201,0.0
Level_2,lognormal,131330,2,-730804.0682663767,1461612.1365327535,1461631.7074697907,0.08851067712505589,0.0
Level_2,weibull,131330,2,-728890.9530218329,1457785.9060436657,1457805.476980703,0.08752668931249008,0.0
Level_2,mixture_2lognorm,131330,5,-212445.65801497834,424901.3160299567,424950.2433725496,,
Mixed,exponential,82220,1,-393535.51400250185,787073.0280050037,787082.3451588642,0.17387769959695204,0.0
Mixed,gamma,82220,2,-378569.8108782508,757143.6217565016,757162.2560642225,0.04514983712104681,4.380311467643048e-146
Mixed,lognormal,82220,2,-385128.31325716246,770260.6265143249,770279.2608220458,0.08396696701443734,0.0
Mixed,weibull,82220,2,-377146.5124627079,754297.0249254158,754315.6592331367,0.02063500158821563,7.644571554776084e-31
