station,n_chargers,metric_family,metric_name,rho_peak_hour,mms_p_wait_gt_0,mgs_p_wait_gt_0,note
Xiuzhou_Expressway Service District A,2,analytical_peak_hour,p_wait_gt_0,0.8793611732754886,0.7758108801690288,0.7919450861082875,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Expressway Service District A,4,analytical_peak_hour,p_wait_gt_0,0.4396805866377443,0.0694678519584652,0.084105027438812,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Expressway Service District A,6,analytical_peak_hour,p_wait_gt_0,0.2931203910918295,0.0035516469088405,0.005099959818255,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Expressway Service District A,8,analytical_peak_hour,p_wait_gt_0,0.21984029331887214,0.0001091169321216,0.0001858352098312,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Expressway Service District A,10,analytical_peak_hour,p_wait_gt_0,0.17587223465509771,2.177960191125276e-06,4.39931112583502e-06,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Expressway Service District A,12,analytical_peak_hour,p_wait_gt_0,0.14656019554591476,3.023441376376849e-08,7.243278368972845e-08,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Expressway Service District A,14,analytical_peak_hour,p_wait_gt_0,0.12562302475364123,3.0768625116267844e-10,8.742599798103265e-10,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Expressway Service District A,16,analytical_peak_hour,p_wait_gt_0,0.10992014665943607,2.389848292976877e-12,8.053816407484049e-12,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Expressway Service District A,18,analytical_peak_hour,p_wait_gt_0,0.09770679703060985,1.4619547610467453e-14,5.843381088309032e-14,Reference only; not same metric as full-day P(W>15).
Xiuzhou_Expressway Service District A,20,analytical_peak_hour,p_wait_gt_0,0.08793611732754886,7.222316348255981e-17,3.423778561753622e-16,Reference only; not same metric as full-day P(W>15).
