station,n_chargers,faults,replication,seed,mean_utilization,mean_wait,p_wait_gt_10min,p_wait_gt_15min,throughput_per_hour,n_sessions,fault_fraction,drain_cap_hit
Xiuzhou_Expressway Service District A,2,off,0,42,0.43756904227479054,32.575623729345594,0.34775641025641024,0.3173076923076923,0.8666666666666667,624,0.0,False
Xiuzhou_Expressway Service District A,2,off,1,43,0.4384808341607673,34.83487462941764,0.38087774294670845,0.3557993730407524,0.8861111111111111,638,0.0,False
Xiuzhou_Expressway Service District A,2,off,2,44,0.4130087222877696,36.36864025740729,0.38552188552188554,0.367003367003367,0.825,594,0.0,False
Xiuzhou_Expressway Service District A,2,off,3,45,0.44604473385582594,44.800550752045446,0.3785488958990536,0.35646687697160884,0.8805555555555555,634,0.0,False
Xiuzhou_Expressway Service District A,2,off,4,46,0.44949894895520864,30.16709224297795,0.3888888888888889,0.3619047619047619,0.875,630,0.0,False
Xiuzhou_Expressway Service District A,2,off,5,47,0.41380757808887303,24.382452305005298,0.3235772357723577,0.2861788617886179,0.8541666666666666,615,0.0,False
Xiuzhou_Expressway Service District A,2,off,6,48,0.43008857466847117,35.95117523587554,0.3904923599320883,0.366723259762309,0.8180555555555555,589,0.0,False
Xiuzhou_Expressway Service District A,2,off,7,49,0.44365772814391374,38.03323058689127,0.3548872180451128,0.3308270676691729,0.9236111111111112,665,0.0,False
Xiuzhou_Expressway Service District A,2,off,8,50,0.420881935535167,34.37629352034105,0.33889816360601,0.3088480801335559,0.8319444444444445,599,0.0,False
Xiuzhou_Expressway Service District A,2,off,9,51,0.3609066178929686,26.99900413719708,0.2964169381107492,0.2671009771986971,0.8527777777777777,614,0.0,False
Xiuzhou_Expressway Service District A,2,off,10,52,0.41464783210495776,45.756283628473135,0.36195286195286197,0.32996632996632996,0.825,594,0.0,False
Xiuzhou_Expressway Service District A,2,off,11,53,0.5075198717572464,53.23500232123861,0.42900763358778626,0.39541984732824426,0.9097222222222222,655,0.0,False
Xiuzhou_Expressway Service District A,2,off,12,54,0.4246373330070222,41.295424697457236,0.3502454991816694,0.32733224222585927,0.8486111111111111,611,0.0,False
Xiuzhou_Expressway Service District A,2,off,13,55,0.45531565690761633,49.806243583436355,0.3560126582278481,0.3370253164556962,0.8777777777777778,632,0.0,False
Xiuzhou_Expressway Service District A,2,off,14,56,0.45729383221554903,67.24759392166979,0.4261006289308176,0.4056603773584906,0.8833333333333333,636,0.0,False
Xiuzhou_Expressway Service District A,2,off,15,57,0.44307152709315867,40.24557991258953,0.37919463087248323,0.3523489932885906,0.8277777777777777,596,0.0,False
Xiuzhou_Expressway Service District A,2,off,16,58,0.39311649002622795,20.694126782006418,0.3101694915254237,0.2745762711864407,0.8194444444444444,590,0.0,False
Xiuzhou_Expressway Service District A,2,off,17,59,0.4240961250446225,35.19707837965342,0.32006125574272587,0.30321592649310875,0.9069444444444444,653,0.0,False
Xiuzhou_Expressway Service District A,2,off,18,60,0.4233487399297347,48.74818548273728,0.3808724832214765,0.3674496644295302,0.8277777777777777,596,0.0,False
