station,n_chargers,faults,mean_utilization_mean,mean_utilization_std,mean_utilization_ci95,mean_wait_mean,mean_wait_std,mean_wait_ci95,median_wait_mean,median_wait_std,median_wait_ci95,p95_wait_mean,p95_wait_std,p95_wait_ci95,p_wait_gt_10min_mean,p_wait_gt_10min_std,p_wait_gt_10min_ci95,p_wait_gt_15min_mean,p_wait_gt_15min_std,p_wait_gt_15min_ci95,throughput_per_hour_mean,throughput_per_hour_std,throughput_per_hour_ci95,n_sessions_mean,n_sessions_std,n_sessions_ci95,fault_fraction_mean,fault_fraction_std,fault_fraction_ci95,p_wait_gt_15min_upper95
Xiuzhou_Expressway Service District A,2,off,0.4267355871362066,0.028936822658886287,0.00810231034448816,35.71722050757197,11.06438983866293,3.0980291548256207,0.0,0.0,0.0,199.19571045297053,78.31822729386533,21.929103642282296,0.3539131305521759,0.038533796356516714,0.01078946297982468,0.32838292181661627,0.03978464480282113,0.011139700544789917,0.8562777777777779,0.029745888812314356,0.00832884886744802,616.52,21.417039944866332,5.996771184562572,0.0,0.0,0.0,0.3395226223614062
Xiuzhou_Expressway Service District A,4,off,0.21347931443048612,0.014638886868862637,0.004098888323281538,1.0401562238510516,0.887455128300376,0.24848743592410527,0.0,0.0,0.0,2.235354558301581,4.959987361992888,1.3887964613580086,0.027307096091193066,0.015004589450666487,0.004201285046186617,0.02248190094276167,0.014049379131301491,0.003933826156764417,0.8562777777777779,0.029745888812314356,0.00832884886744802,616.52,21.417039944866332,5.996771184562572,0.0,0.0,0.0,0.02641572709952609
Xiuzhou_Expressway Service District A,6,off,0.1423195429536574,0.00975925791257507,0.0027325922155210197,0.034043502928287186,0.05891103568196177,0.016495089990949296,0.0,0.0,0.0,0.0,0.0,0.0,0.0012780396105583369,0.0022628067312356324,0.000633585884745977,0.0008003376414417915,0.0016266508741693206,0.00045546224476740975,0.8562777777777779,0.029745888812314356,0.00832884886744802,616.52,21.417039944866332,5.996771184562572,0.0,0.0,0.0,0.0012557998862092012
Xiuzhou_Expressway Service District A,8,off,0.10673965721524306,0.007319443434431318,0.002049444161640769,0.00016868917757442703,0.0011808242430209892,0.000330630788045877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.00832884886744802,616.52,21.417039944866332,5.996771184562572,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,10,off,0.08539172577219446,0.005855554747545092,0.0016395553293126256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.00832884886744802,616.52,21.417039944866332,5.996771184562572,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,12,off,0.0711597714768287,0.004879628956287535,0.0013662961077605099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.00832884886744802,616.52,21.417039944866332,5.996771184562572,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,14,off,0.06099408983728174,0.004182539105389327,0.0011711109495090115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.00832884886744802,616.52,21.417039944866332,5.996771184562572,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,16,off,0.05336982860762153,0.003659721717215659,0.0010247220808203845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.00832884886744802,616.52,21.417039944866332,5.996771184562572,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,18,off,0.047439847651219134,0.0032530859708583605,0.000910864071840341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.00832884886744802,616.52,21.417039944866332,5.996771184562572,0.0,0.0,0.0,0.0
Xiuzhou_Expressway Service District A,20,off,0.04269586288609723,0.002927777373772546,0.0008197776646563128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.00832884886744802,616.52,21.417039944866332,5.996771184562572,0.0,0.0,0.0,0.0
