station,fault_rate,n_chargers,mean_utilization,p_wait_gt_15min,mean_wait
Xiuzhou_Government Agency,0.0,2,0.9925499065834973,0.9900817687161606,2463.7474958873045
Xiuzhou_Government Agency,0.0,4,0.5294632369125762,0.2651382935852652,20.589221138850206
Xiuzhou_Government Agency,0.0,6,0.3530233604652576,0.03225910943597653,1.5066844799859647
Xiuzhou_Government Agency,0.0,8,0.2647730332109117,0.002623679521542966,0.11753752098409288
Xiuzhou_Government Agency,0.0,10,0.21181842656872937,0.00017206201013193742,0.008709826241701938
Xiuzhou_Government Agency,0.0,12,0.17651535547394107,1.3054830287206266e-05,0.0008746452845155453
Xiuzhou_Government Agency,0.0,14,0.15129887612052095,0.0,0.0
Xiuzhou_Government Agency,0.0,16,0.13238651660545586,0.0,0.0
Xiuzhou_Government Agency,0.0,18,0.11767690364929413,0.0,0.0
Xiuzhou_Government Agency,0.0,20,0.1059092132843647,0.0,0.0
Xiuzhou_Government Agency,0.0,22,0.09628110298578607,0.0,0.0
Xiuzhou_Government Agency,0.0,24,0.08825767773697053,0.0,0.0
Xiuzhou_Government Agency,0.0,26,0.08146862560335746,0.0,0.0
Xiuzhou_Government Agency,0.0,28,0.07564943806026048,0.0,0.0
Xiuzhou_Government Agency,0.0,30,0.07060614218957646,0.0,0.0
Xiuzhou_Government Agency,0.05,2,0.9970421053282464,0.9959533161595487,3298.767764426897
Xiuzhou_Government Agency,0.05,4,0.5482612537651502,0.2950521476246905,24.031347929814093
Xiuzhou_Government Agency,0.05,6,0.3655526632800373,0.03872405054006998,1.808341539234674
Xiuzhou_Government Agency,0.05,8,0.27417729452801415,0.003221055410127533,0.14386389882096182
Xiuzhou_Government Agency,0.05,10,0.2193419558016007,0.00021078436194109712,0.011179000322503418
Xiuzhou_Government Agency,0.05,12,0.18278496316800052,1.3054830287206266e-05,0.0009310588918857254
Xiuzhou_Government Agency,0.05,14,0.1566728255725719,0.0,0.0
Xiuzhou_Government Agency,0.05,16,0.13708872237600045,0.0,0.0
Xiuzhou_Government Agency,0.05,18,0.12185664211200047,0.0,0.0
Xiuzhou_Government Agency,0.05,20,0.10967097790080035,0.0,0.0
Xiuzhou_Government Agency,0.05,22,0.09970088900072759,0.0,0.0
Xiuzhou_Government Agency,0.05,24,0.09139248158400026,0.0,0.0
Xiuzhou_Government Agency,0.05,26,0.08436229069292338,0.0,0.0
Xiuzhou_Government Agency,0.05,28,0.07833641278628595,0.0,0.0
Xiuzhou_Government Agency,0.05,30,0.07311398526720024,0.0,0.0
Xiuzhou_Government Agency,0.1,2,0.9990841468887228,0.998747480991899,4246.461936065819
Xiuzhou_Government Agency,0.1,4,0.5695779950021587,0.33024182246152706,28.44712277857752
Xiuzhou_Government Agency,0.1,6,0.37971800472116174,0.04822025223234641,2.2576185745894892
Xiuzhou_Government Agency,0.1,8,0.2848019243489456,0.004307484469345436,0.18757432640054852
Xiuzhou_Government Agency,0.1,10,0.22784165965834596,0.00035601956214323925,0.015692700726441026
Xiuzhou_Government Agency,0.1,12,0.18986804971528815,1.3054830287206266e-05,0.0015987641264923135
Xiuzhou_Government Agency,0.1,14,0.16274404261310416,0.0,5.895853432984901e-05
Xiuzhou_Government Agency,0.1,16,0.1424010372864662,0.0,0.0
Xiuzhou_Government Agency,0.1,18,0.1265786998101922,0.0,0.0
Xiuzhou_Government Agency,0.1,20,0.11392082982917298,0.0,0.0
Xiuzhou_Government Agency,0.1,22,0.10356439075379358,0.0,0.0
Xiuzhou_Government Agency,0.1,24,0.09493402485764407,0.0,0.0
Xiuzhou_Government Agency,0.1,26,0.08763140756090229,0.0,0.0
Xiuzhou_Government Agency,0.1,28,0.08137202130655208,0.0,0.0
Xiuzhou_Government Agency,0.1,30,0.0759472198861153,0.0,0.0
Xiuzhou_Government Agency,0.15,2,0.9997613267029003,0.9994135395285341,5270.939765197524
Xiuzhou_Government Agency,0.15,4,0.5927362174006923,0.3703500702447313,34.01680816089482
