station,n_chargers,faults,replication,seed,mean_utilization,mean_wait,p_wait_gt_10min,p_wait_gt_15min,throughput_per_hour,n_sessions,fault_fraction,drain_cap_hit
Xiuzhou_Expressway Service District A,2,on,0,42,0.49356893430416127,45.189262164416164,0.4423076923076923,0.41346153846153844,0.8666666666666667,624,0.16025641025641027,False
Xiuzhou_Expressway Service District A,2,on,1,43,0.50198239925539,47.503101292262166,0.4498432601880878,0.4231974921630094,0.8861111111111111,638,0.1677115987460815,False
Xiuzhou_Expressway Service District A,2,on,2,44,0.47887625014912627,55.31253693961577,0.4898989898989899,0.4730639730639731,0.825,594,0.18518518518518517,False
Xiuzhou_Expressway Service District A,2,on,3,45,0.5043012053338921,54.82878034966,0.4416403785488959,0.41009463722397477,0.8805555555555555,634,0.15772870662460567,False
Xiuzhou_Expressway Service District A,2,on,4,46,0.5304489884320157,57.843142332854654,0.5222222222222223,0.5031746031746032,0.8736111111111111,630,0.20476190476190476,False
Xiuzhou_Expressway Service District A,2,on,5,47,0.467672967481014,34.14121751569585,0.4146341463414634,0.3821138211382114,0.8541666666666666,615,0.16097560975609757,False
Xiuzhou_Expressway Service District A,2,on,6,48,0.5092267148801428,49.88188112793382,0.4906621392190153,0.45500848896434637,0.8166666666666667,589,0.17147707979626486,False
Xiuzhou_Expressway Service District A,2,on,7,49,0.5220695391478863,57.64176575904849,0.4857142857142857,0.45864661654135336,0.9236111111111112,665,0.17142857142857143,False
Xiuzhou_Expressway Service District A,2,on,8,50,0.4894231976489507,48.46849330249906,0.4357262103505843,0.39565943238731216,0.8319444444444445,599,0.2003338898163606,False
Xiuzhou_Expressway Service District A,2,on,9,51,0.4298685252051492,36.81415569923529,0.3941368078175896,0.35993485342019543,0.8513888888888889,614,0.1742671009771987,False
Xiuzhou_Expressway Service District A,2,on,10,52,0.47787472527385416,64.13020983794551,0.42424242424242425,0.3888888888888889,0.825,594,0.14814814814814814,False
Xiuzhou_Expressway Service District A,2,on,11,53,0.5868160487522195,84.08804171418896,0.5297709923664122,0.500763358778626,0.9097222222222222,655,0.1801526717557252,False
Xiuzhou_Expressway Service District A,2,on,12,54,0.5054025786897006,63.187474001235664,0.4762684124386252,0.4500818330605565,0.8486111111111111,611,0.19639934533551553,False
Xiuzhou_Expressway Service District A,2,on,13,55,0.5242123413305821,72.90844967773361,0.4319620253164557,0.40822784810126583,0.8777777777777778,632,0.1550632911392405,False
Xiuzhou_Expressway Service District A,2,on,14,56,0.5198164971206979,91.3019094543791,0.5314465408805031,0.5,0.8819444444444444,636,0.16981132075471697,False
Xiuzhou_Expressway Service District A,2,on,15,57,0.5044229978404602,60.247871772253994,0.4697986577181208,0.44798657718120805,0.8277777777777777,596,0.17114093959731544,False
Xiuzhou_Expressway Service District A,2,on,16,58,0.4519881449067223,28.98169094117018,0.376271186440678,0.33728813559322035,0.8194444444444444,590,0.15423728813559323,False
Xiuzhou_Expressway Service District A,2,on,17,59,0.4886752076068629,51.17499214504289,0.4211332312404288,0.3889739663093415,0.9069444444444444,653,0.17611026033690658,False
Xiuzhou_Expressway Service District A,2,on,18,60,0.5009531600680053,71.86378653369933,0.48825503355704697,0.4664429530201342,0.8277777777777777,596,0.18120805369127516,False
Xiuzhou_Expressway Service District A,2,on,19,61,0.49586770273525044,51.899614291802074,0.4959349593495935,0.46991869918699186,0.8541666666666666,615,0.17398373983739837,False
Xiuzhou_Expressway Service District A,2,on,20,62,0.43709934591165206,26.09387497211213,0.3808,0.3488,0.8680555555555556,625,0.1584,False
Xiuzhou_Expressway Service District A,2,on,21,63,0.5306190095757701,73.63164928263285,0.5231560891938251,0.4957118353344768,0.8097222222222222,583,0.16981132075471697,False
Xiuzhou_Expressway Service District A,2,on,22,64,0.5395428194974792,51.64872024320237,0.4527736131934033,0.42278860569715143,0.9263888888888889,667,0.1469265367316342,False
Xiuzhou_Expressway Service District A,2,on,23,65,0.4910459463318887,42.16805942457352,0.40161290322580645,0.3709677419354839,0.8611111111111112,620,0.1774193548387097,False
Xiuzhou_Expressway Service District A,2,on,24,66,0.47004898833906267,64.31806592331344,0.4694915254237288,0.45084745762711864,0.8180555555555555,590,0.13898305084745763,False
Xiuzhou_Expressway Service District A,2,on,25,67,0.4750695265573926,47.745611731067996,0.43630573248407645,0.4124203821656051,0.8722222222222222,628,0.12898089171974522,False
Xiuzhou_Expressway Service District A,2,on,26,68,0.5606159232060841,61.62369263896703,0.46730462519936206,0.4370015948963317,0.8708333333333333,627,0.18819776714513556,False
Xiuzhou_Expressway Service District A,2,on,27,69,0.511012699321609,55.3577497738893,0.47581903276131043,0.44773790951638065,0.8888888888888888,641,0.1794071762870515,False
Xiuzhou_Expressway Service District A,2,on,28,70,0.49443544900139286,37.46277912001289,0.5031446540880503,0.4606918238993711,0.8833333333333333,636,0.17452830188679244,False
Xiuzhou_Expressway Service District A,2,on,29,71,0.4915821375838991,62.541579448463054,0.41545893719806765,0.392914653784219,0.8625,621,0.1723027375201288,False
Xiuzhou_Expressway Service District A,2,on,30,72,0.42384536134297224,45.860956558865965,0.4016393442622951,0.3737704918032787,0.8472222222222222,610,0.13114754098360656,False
Xiuzhou_Expressway Service District A,2,on,31,73,0.49351024751965933,28.588229027447653,0.41435562805872755,0.3866231647634584,0.85,613,0.15171288743882544,False
Xiuzhou_Expressway Service District A,2,on,32,74,0.4942494975708388,46.88992112261116,0.5088852988691438,0.4878836833602585,0.8597222222222223,619,0.1567043618739903,False
Xiuzhou_Expressway Service District A,2,on,33,75,0.4911173289932015,42.55155991199757,0.4274322169059011,0.39553429027113235,0.8694444444444445,627,0.18022328548644337,False
Xiuzhou_Expressway Service District A,2,on,34,76,0.49955059032231036,51.16950890019653,0.5057283142389526,0.4844517184942717,0.8472222222222222,611,0.176759410801964,False
Xiuzhou_Expressway Service District A,2,on,35,77,0.48571966573822994,40.90214036161267,0.4420529801324503,0.40728476821192056,0.8388888888888889,604,0.18543046357615894,False
Xiuzhou_Expressway Service District A,2,on,36,78,0.4893363576439087,48.87103076454368,0.453781512605042,0.42521008403361343,0.8263888888888888,595,0.14285714285714285,False
