station_name,day_label,fleet_label,n_chargers,metric,fcfs_value,lp_value,delta,pct_change
Xiuzhou_Expressway Service District A,high_demand_summer_weekday,s_star_-2,2,mean_wait_min,2.678,106.437,103.759,3874.5
Xiuzhou_Expressway Service District A,high_demand_summer_weekday,s_star_-2,2,p_wait_gt_15min,0.0513,0.9487,0.8974,1749.32
Xiuzhou_Expressway Service District A,high_demand_summer_weekday,s_star_-2,2,mean_utilization,0.3297,0.3052,-0.0245,-7.43
Xiuzhou_Expressway Service District A,high_demand_summer_weekday,s_star_-2,2,tou_cost_yuan,365.54,347.8,-17.74,-4.85
Xiuzhou_Expressway Service District A,low_demand_winter_weekday,s_star_-2,2,mean_wait_min,0.0,14.983,14.983,0.0
Xiuzhou_Expressway Service District A,low_demand_winter_weekday,s_star_-2,2,p_wait_gt_15min,0.0,0.5,0.5,0.0
Xiuzhou_Expressway Service District A,low_demand_winter_weekday,s_star_-2,2,mean_utilization,0.0332,0.0332,0.0,0.0
Xiuzhou_Expressway Service District A,low_demand_winter_weekday,s_star_-2,2,tou_cost_yuan,39.67,39.67,0.0,0.0
Xiuzhou_Expressway Service District A,rainy_day,s_star_-2,2,mean_wait_min,0.0,12.208,12.208,0.0
Xiuzhou_Expressway Service District A,rainy_day,s_star_-2,2,p_wait_gt_15min,0.0,0.2,0.2,0.0
Xiuzhou_Expressway Service District A,rainy_day,s_star_-2,2,mean_utilization,0.0729,0.0677,-0.0052,-7.13
Xiuzhou_Expressway Service District A,rainy_day,s_star_-2,2,tou_cost_yuan,91.2,91.2,0.0,0.0
Xiuzhou_Expressway Service District A,holiday,s_star_-2,2,mean_wait_min,8.258,38.077,29.819,361.09
Xiuzhou_Expressway Service District A,holiday,s_star_-2,2,p_wait_gt_15min,0.2857,0.8286,0.5429,190.02
Xiuzhou_Expressway Service District A,holiday,s_star_-2,2,mean_utilization,0.3499,0.3315,-0.0184,-5.26
Xiuzhou_Expressway Service District A,holiday,s_star_-2,2,tou_cost_yuan,499.53,468.22,-31.31,-6.27
Xiuzhou_Expressway Service District A,weekend,s_star_-2,2,mean_wait_min,0.0,15.877,15.877,0.0
Xiuzhou_Expressway Service District A,weekend,s_star_-2,2,p_wait_gt_15min,0.0,0.4,0.4,0.0
Xiuzhou_Expressway Service District A,weekend,s_star_-2,2,mean_utilization,0.0565,0.0565,0.0,0.0
Xiuzhou_Expressway Service District A,weekend,s_star_-2,2,tou_cost_yuan,114.82,114.82,0.0,0.0
Xiuzhou_Expressway Service District A,high_demand_summer_weekday,s_star_-4,1,mean_wait_min,65.831,380.283,314.452,477.67
Xiuzhou_Expressway Service District A,high_demand_summer_weekday,s_star_-4,1,p_wait_gt_15min,0.5897,0.9744,0.3847,65.24
Xiuzhou_Expressway Service District A,high_demand_summer_weekday,s_star_-4,1,mean_utilization,0.6058,0.3234,-0.2824,-46.62
Xiuzhou_Expressway Service District A,high_demand_summer_weekday,s_star_-4,1,tou_cost_yuan,358.42,265.44,-92.98,-25.94
Xiuzhou_Expressway Service District A,low_demand_winter_weekday,s_star_-4,1,mean_wait_min,0.0,14.983,14.983,0.0
Xiuzhou_Expressway Service District A,low_demand_winter_weekday,s_star_-4,1,p_wait_gt_15min,0.0,0.5,0.5,0.0
Xiuzhou_Expressway Service District A,low_demand_winter_weekday,s_star_-4,1,mean_utilization,0.0664,0.0664,0.0,0.0
Xiuzhou_Expressway Service District A,low_demand_winter_weekday,s_star_-4,1,tou_cost_yuan,39.67,39.67,0.0,0.0
Xiuzhou_Expressway Service District A,rainy_day,s_star_-4,1,mean_wait_min,5.945,30.208,24.263,408.12
Xiuzhou_Expressway Service District A,rainy_day,s_star_-4,1,p_wait_gt_15min,0.1,0.5,0.4,400.0
Xiuzhou_Expressway Service District A,rainy_day,s_star_-4,1,mean_utilization,0.1458,0.1355,-0.0103,-7.06
