n_sessions_nonfault,mean_wait_min,median_wait_min,p_wait_gt_15min,mean_utilization,tou_cost_yuan,throughput,station_name,day_label,date_dt,n_chargers,n_sessions_total,n_fault_excluded,fleet_label
39,2.678,0.0,0.0513,0.3297,365.54,1.625,Xiuzhou_Expressway Service District A,high_demand_summer_weekday,2021-07-16,2,61,22,s_star_-2
4,0.0,0.0,0.0,0.0332,39.67,0.167,Xiuzhou_Expressway Service District A,low_demand_winter_weekday,2021-02-11,2,10,6,s_star_-2
10,0.0,0.0,0.0,0.0729,91.2,0.417,Xiuzhou_Expressway Service District A,rainy_day,2020-06-23,2,55,45,s_star_-2
35,8.258,0.0,0.2857,0.3499,499.53,1.458,Xiuzhou_Expressway Service District A,holiday,2021-10-05,2,45,10,s_star_-2
5,0.0,0.0,0.0,0.0565,114.82,0.208,Xiuzhou_Expressway Service District A,weekend,2020-06-28,2,6,1,s_star_-2
39,65.831,80.55,0.5897,0.6058,358.42,1.625,Xiuzhou_Expressway Service District A,high_demand_summer_weekday,2021-07-16,1,61,22,s_star_-4
4,0.0,0.0,0.0,0.0664,39.67,0.167,Xiuzhou_Expressway Service District A,low_demand_winter_weekday,2021-02-11,1,10,6,s_star_-4
10,5.945,0.0,0.1,0.1458,91.2,0.417,Xiuzhou_Expressway Service District A,rainy_day,2020-06-23,1,55,45,s_star_-4
35,93.476,82.85,0.8857,0.584,453.04,1.458,Xiuzhou_Expressway Service District A,holiday,2021-10-05,1,45,10,s_star_-4
5,0.0,0.0,0.0,0.1129,114.82,0.208,Xiuzhou_Expressway Service District A,weekend,2020-06-28,1,6,1,s_star_-4
59,0.0,0.0,0.0,0.5515,887.46,2.458,Nanhu_Technology Park,high_demand_summer_weekday,2021-07-16,4,62,0,s_star_-2
28,0.0,0.0,0.0,0.3645,458.79,1.167,Nanhu_Technology Park,low_demand_winter_weekday,2021-02-11,4,31,1,s_star_-2
53,0.0,0.0,0.0,0.5826,761.81,2.208,Nanhu_Technology Park,rainy_day,2020-06-23,4,58,2,s_star_-2
69,0.0,0.0,0.0,0.572,886.29,2.875,Nanhu_Technology Park,weekend,2020-06-28,4,72,0,s_star_-2
59,152.325,163.267,0.8983,0.9478,807.42,2.458,Nanhu_Technology Park,high_demand_summer_weekday,2021-07-16,2,62,0,s_star_-4
28,22.823,7.35,0.4286,0.6693,433.76,1.167,Nanhu_Technology Park,low_demand_winter_weekday,2021-02-11,2,31,1,s_star_-4
53,266.806,262.7,1.0,1.0,823.0,2.208,Nanhu_Technology Park,rainy_day,2020-06-23,2,58,2,s_star_-4
69,131.909,141.8,0.971,0.978,897.86,2.875,Nanhu_Technology Park,weekend,2020-06-28,2,72,0,s_star_-4
66,39.552,43.808,0.7727,0.9552,1285.22,2.75,Xiuzhou_Government Agency,high_demand_summer_weekday,2021-07-16,6,79,5,s_star_-2
15,0.0,0.0,0.0,0.0657,201.67,0.625,Xiuzhou_Government Agency,low_demand_winter_weekday,2021-02-11,6,18,3,s_star_-2
52,0.787,0.0,0.0192,0.3922,704.29,2.167,Xiuzhou_Government Agency,rainy_day,2020-06-23,6,60,2,s_star_-2
71,7.504,0.0,0.1127,0.7979,1466.41,2.958,Xiuzhou_Government Agency,holiday,2021-10-05,6,87,8,s_star_-2
59,5.622,0.0,0.1525,0.645,846.46,2.458,Xiuzhou_Government Agency,weekend,2020-06-28,6,73,6,s_star_-2
66,546.035,550.9,1.0,1.0,1094.31,2.75,Xiuzhou_Government Agency,high_demand_summer_weekday,2021-07-16,4,79,5,s_star_-4
15,0.0,0.0,0.0,0.0985,201.67,0.625,Xiuzhou_Government Agency,low_demand_winter_weekday,2021-02-11,4,18,3,s_star_-4
52,11.603,0.0,0.2115,0.5556,704.29,2.167,Xiuzhou_Government Agency,rainy_day,2020-06-23,4,60,2,s_star_-4
71,318.626,319.317,1.0,1.0,1200.46,2.958,Xiuzhou_Government Agency,holiday,2021-10-05,4,87,8,s_star_-4
59,82.001,69.233,0.7797,0.8883,904.89,2.458,Xiuzhou_Government Agency,weekend,2020-06-28,4,73,6,s_star_-4
118,0.0,0.0,0.0,0.6774,1751.4,4.917,Tongxiang_Bus Station,high_demand_summer_weekday,2021-07-16,8,142,17,s_star_-2
18,0.0,0.0,0.0,0.1783,296.75,0.75,Tongxiang_Bus Station,low_demand_winter_weekday,2021-02-11,8,23,3,s_star_-2
44,0.0,0.0,0.0,0.4063,647.42,1.833,Tongxiang_Bus Station,rainy_day,2020-06-23,8,53,3,s_star_-2
99,0.0,0.0,0.0,0.598,1439.42,4.125,Tongxiang_Bus Station,holiday,2021-10-05,8,112,7,s_star_-2
64,0.0,0.0,0.0,0.3641,936.4,2.667,Tongxiang_Bus Station,weekend,2020-06-28,8,75,7,s_star_-2
118,11.287,2.517,0.3305,0.8906,1751.49,4.917,Tongxiang_Bus Station,high_demand_summer_weekday,2021-07-16,6,142,17,s_star_-4
18,0.0,0.0,0.0,0.2377,296.75,0.75,Tongxiang_Bus Station,low_demand_winter_weekday,2021-02-11,6,23,3,s_star_-4
44,0.0,0.0,0.0,0.5418,647.42,1.833,Tongxiang_Bus Station,rainy_day,2020-06-23,6,53,3,s_star_-4
99,4.615,0.0,0.1515,0.7973,1430.71,4.125,Tongxiang_Bus Station,holiday,2021-10-05,6,112,7,s_star_-4
64,0.0,0.0,0.0,0.4854,936.4,2.667,Tongxiang_Bus Station,weekend,2020-06-28,6,75,7,s_star_-4
