station,demand_scenario,hour,lambda_h,mu_eff_per_hr,cv,s_heuristic,n_chargers_installed,s_star_week6
Xiuzhou_Expressway Service District A,historical_avg,0,0.4249,0.9772,1.4399,3,30,4
Xiuzhou_Expressway Service District A,historical_avg,1,0.3743,0.9772,1.4399,2,30,4
Xiuzhou_Expressway Service District A,historical_avg,2,0.2445,0.9772,1.4399,2,30,4
Xiuzhou_Expressway Service District A,historical_avg,3,0.1667,0.9772,1.4399,2,30,4
Xiuzhou_Expressway Service District A,historical_avg,4,0.1448,0.9772,1.4399,2,30,4
Xiuzhou_Expressway Service District A,historical_avg,5,0.127,0.9772,1.4399,2,30,4
Xiuzhou_Expressway Service District A,historical_avg,6,0.1721,0.9772,1.4399,2,30,4
Xiuzhou_Expressway Service District A,historical_avg,7,0.25,0.9772,1.4399,2,30,4
Xiuzhou_Expressway Service District A,historical_avg,8,0.3811,0.9772,1.4399,2,30,4
Xiuzhou_Expressway Service District A,historical_avg,9,0.6503,0.9772,1.4399,3,30,4
Xiuzhou_Expressway Service District A,historical_avg,10,0.8087,0.9772,1.4399,3,30,4
Xiuzhou_Expressway Service District A,historical_avg,11,1.2049,0.9772,1.4399,4,30,4
Xiuzhou_Expressway Service District A,historical_avg,12,1.4536,0.9772,1.4399,4,30,4
Xiuzhou_Expressway Service District A,historical_avg,13,1.5423,0.9772,1.4399,5,30,4
Xiuzhou_Expressway Service District A,historical_avg,14,1.6011,0.9772,1.4399,5,30,4
Xiuzhou_Expressway Service District A,historical_avg,15,1.6475,0.9772,1.4399,5,30,4
Xiuzhou_Expressway Service District A,historical_avg,16,1.7186,0.9772,1.4399,5,30,4
Xiuzhou_Expressway Service District A,historical_avg,17,1.6598,0.9772,1.4399,5,30,4
Xiuzhou_Expressway Service District A,historical_avg,18,1.4549,0.9772,1.4399,4,30,4
Xiuzhou_Expressway Service District A,historical_avg,19,1.2445,0.9772,1.4399,4,30,4
Xiuzhou_Expressway Service District A,historical_avg,20,1.1175,0.9772,1.4399,4,30,4
Xiuzhou_Expressway Service District A,historical_avg,21,0.9085,0.9772,1.4399,4,30,4
Xiuzhou_Expressway Service District A,historical_avg,22,0.694,0.9772,1.4399,3,30,4
