station,n_chargers,activation_mode,faults,replication,mean_utilization,mean_utilization_static,mean_wait,p_wait_gt_15min,active_charger_hours,scheduled_charger_hours,n_sessions,fault_fraction,throughput_per_hour,drain_cap_hit
Xiuzhou_Expressway Service District A,2,full,ON,0,0.49356893430416127,0.49356893430416127,45.189262164416164,0.41346153846153844,1440.0,1440.0,624,0.16025641025641027,0.8666666666666667,False
Xiuzhou_Expressway Service District A,2,full,ON,1,0.50198239925539,0.50198239925539,47.503101292262166,0.4231974921630094,1440.0,1440.0,638,0.1677115987460815,0.8861111111111111,False
Xiuzhou_Expressway Service District A,2,full,ON,2,0.47887625014912627,0.47887625014912627,55.31253693961577,0.4730639730639731,1440.0,1440.0,594,0.18518518518518517,0.825,False
Xiuzhou_Expressway Service District A,2,full,ON,3,0.5043012053338921,0.5043012053338921,54.82878034966,0.41009463722397477,1440.0,1440.0,634,0.15772870662460567,0.8805555555555555,False
Xiuzhou_Expressway Service District A,2,full,ON,4,0.5304489884320157,0.5304489884320157,57.843142332854654,0.5031746031746032,1440.0,1440.0,630,0.20476190476190476,0.8736111111111111,False
Xiuzhou_Expressway Service District A,2,full,ON,5,0.467672967481014,0.467672967481014,34.14121751569585,0.3821138211382114,1440.0,1440.0,615,0.16097560975609757,0.8541666666666666,False
Xiuzhou_Expressway Service District A,2,full,ON,6,0.5092267148801428,0.5092267148801428,49.88188112793382,0.45500848896434637,1440.0,1440.0,589,0.17147707979626486,0.8166666666666667,False
Xiuzhou_Expressway Service District A,2,full,ON,7,0.5220695391478863,0.5220695391478863,57.64176575904849,0.45864661654135336,1440.0,1440.0,665,0.17142857142857143,0.9236111111111112,False
Xiuzhou_Expressway Service District A,2,full,ON,8,0.4894231976489507,0.4894231976489507,48.46849330249906,0.39565943238731216,1440.0,1440.0,599,0.2003338898163606,0.8319444444444445,False
Xiuzhou_Expressway Service District A,2,full,ON,9,0.4298685252051492,0.4298685252051492,36.81415569923529,0.35993485342019543,1440.0,1440.0,614,0.1742671009771987,0.8513888888888889,False
Xiuzhou_Expressway Service District A,2,full,ON,10,0.47787472527385416,0.47787472527385416,64.13020983794551,0.3888888888888889,1440.0,1440.0,594,0.14814814814814814,0.825,False
Xiuzhou_Expressway Service District A,2,full,ON,11,0.5868160487522195,0.5868160487522195,84.08804171418896,0.500763358778626,1440.0,1440.0,655,0.1801526717557252,0.9097222222222222,False
Xiuzhou_Expressway Service District A,2,full,ON,12,0.5054025786897006,0.5054025786897006,63.187474001235664,0.4500818330605565,1440.0,1440.0,611,0.19639934533551553,0.8486111111111111,False
Xiuzhou_Expressway Service District A,2,full,ON,13,0.5242123413305821,0.5242123413305821,72.90844967773361,0.40822784810126583,1440.0,1440.0,632,0.1550632911392405,0.8777777777777778,False
Xiuzhou_Expressway Service District A,2,full,ON,14,0.5198164971206979,0.5198164971206979,91.3019094543791,0.5,1440.0,1440.0,636,0.16981132075471697,0.8819444444444444,False
Xiuzhou_Expressway Service District A,2,full,ON,15,0.5044229978404602,0.5044229978404602,60.247871772253994,0.44798657718120805,1440.0,1440.0,596,0.17114093959731544,0.8277777777777777,False
Xiuzhou_Expressway Service District A,2,full,ON,16,0.4519881449067223,0.4519881449067223,28.98169094117018,0.33728813559322035,1440.0,1440.0,590,0.15423728813559323,0.8194444444444444,False
Xiuzhou_Expressway Service District A,2,full,ON,17,0.4886752076068629,0.4886752076068629,51.17499214504289,0.3889739663093415,1440.0,1440.0,653,0.17611026033690658,0.9069444444444444,False
Xiuzhou_Expressway Service District A,2,full,ON,18,0.5009531600680053,0.5009531600680053,71.86378653369933,0.4664429530201342,1440.0,1440.0,596,0.18120805369127516,0.8277777777777777,False
Xiuzhou_Expressway Service District A,2,full,ON,19,0.49586770273525044,0.49586770273525044,51.899614291802074,0.46991869918699186,1440.0,1440.0,615,0.17398373983739837,0.8541666666666666,False
Xiuzhou_Expressway Service District A,2,full,ON,20,0.43709934591165206,0.43709934591165206,26.09387497211213,0.3488,1440.0,1440.0,625,0.1584,0.8680555555555556,False
Xiuzhou_Expressway Service District A,2,full,ON,21,0.5306190095757701,0.5306190095757701,73.63164928263285,0.4957118353344768,1440.0,1440.0,583,0.16981132075471697,0.8097222222222222,False
Xiuzhou_Expressway Service District A,2,full,ON,22,0.5395428194974792,0.5395428194974792,51.64872024320237,0.42278860569715143,1440.0,1440.0,667,0.1469265367316342,0.9263888888888889,False
Xiuzhou_Expressway Service District A,2,full,ON,23,0.4910459463318887,0.4910459463318887,42.16805942457352,0.3709677419354839,1440.0,1440.0,620,0.1774193548387097,0.8611111111111112,False
Xiuzhou_Expressway Service District A,2,full,ON,24,0.47004898833906267,0.47004898833906267,64.31806592331344,0.45084745762711864,1440.0,1440.0,590,0.13898305084745763,0.8180555555555555,False
Xiuzhou_Expressway Service District A,2,full,ON,25,0.4750695265573926,0.4750695265573926,47.745611731067996,0.4124203821656051,1440.0,1440.0,628,0.12898089171974522,0.8722222222222222,False
Xiuzhou_Expressway Service District A,2,full,ON,26,0.5606159232060841,0.5606159232060841,61.62369263896703,0.4370015948963317,1440.0,1440.0,627,0.18819776714513556,0.8708333333333333,False
Xiuzhou_Expressway Service District A,2,full,ON,27,0.511012699321609,0.511012699321609,55.3577497738893,0.44773790951638065,1440.0,1440.0,641,0.1794071762870515,0.8888888888888888,False
